text,createTime,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,musicMeta.musicAlbum,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags
I found a couple who ran away together.,1969-12-31 19:04:23,Wait,M83,False,"Hurry Up, We're Dreaming",30.0,56,78000,138,573400,75,[],[]
I met a girl who ran away from home. Part 5 posting tomorrow.,1969-12-31 19:04:24,Outro,M83,False,"Hurry Up, We're Dreaming",30.0,45,484500,901,2500000,830,[],[]
Met a girl who ran away from home. Part 4 is posted,1969-12-31 19:04:25,original sound,Are You Happy?,True,,16.0,16,55600,52,460700,39,[],[]
I met this girl who ran away from home: Part 2,1969-12-31 19:04:26,original sound,Are You Happy?,True,,24.0,24,70900,107,487700,109,[],[]
Met this girl who ran away from home. Part 2 is posted!,1969-12-31 19:04:27,original sound,Are You Happy?,True,,10.0,10,40300,167,347900,56,[],[]
Every day I ask strangers if they’re happy. Today I am in Virginia. #areyouhappy #suffolk #virginia #wholesometiktok,1969-12-31 19:04:28,original sound,Are You Happy?,True,,29.0,29,389800,2011,1700000,1342,[],"['areyouhappy', 'suffolk', 'virginia', 'wholesometiktok']"
Every day I ask strangers if they’re happy.,1969-12-31 19:04:29,anton are you happy,Are You Happy?,True,,24.0,24,142600,3610,587600,357,[],[]
Every day I ask strangers if they’re happy.,1969-12-31 19:04:30,original sound,Are You Happy?,True,,43.0,43,26900,204,164600,88,[],[]
Never grow up.,1969-12-31 19:04:31,original sound,Are You Happy?,True,,32.0,32,22200,92,163800,116,[],[]
pt 2,1969-12-31 19:04:32,original sound,Are You Happy?,True,,30.0,30,123600,454,639400,394,[],[]
Like for part 2,1969-12-31 19:04:33,original sound,Are You Happy?,True,,19.0,19,16900,111,151600,137,[],[]
I ask strangers if they’re happy. #onelove #wholesometiktok #areyouhappy,1969-12-31 19:04:34,original sound,Are You Happy?,True,,14.0,14,27200,21,194500,59,[],"['onelove', 'wholesometiktok', 'areyouhappy']"
Every day I ask strangers if they are happy. #onelove #wholesometiktok #areyouhappy,1969-12-31 19:04:35,original sound,Are You Happy?,True,,15.0,16,223400,1449,1200000,841,[],"['onelove', 'wholesometiktok', 'areyouhappy']"
Every day I ask people if they’re happy. #onelove #wholesometiktok #areyouhappy,1969-12-31 19:04:36,original sound,Are You Happy?,True,,21.0,21,9428,17,105200,79,[],"['onelove', 'wholesometiktok', 'areyouhappy']"
Posting black voices this week! #onelove #blackvoices #blackvoicesheard,1969-12-31 19:04:37,original sound,Are You Happy?,True,,19.0,19,8386,37,95700,40,[],"['onelove', 'blackvoices', 'blackvoicesheard']"
Posting black voices only this week.  #onelove #blackvoices #areyouhappy #wholesometiktok,1969-12-31 19:04:38,original sound,Are You Happy?,True,,12.0,12,11000,29,112100,52,[],"['onelove', 'blackvoices', 'areyouhappy', 'wholesometiktok']"
Every day I ask people if they’re happy. #onelove #areyouhappy #wholesometiktok,1969-12-31 19:04:39,original sound,Are You Happy?,True,,32.0,32,5607,45,80500,24,[],"['onelove', 'areyouhappy', 'wholesometiktok']"
Every day I ask people if they’re happy. #areyouhappy #wholesometiktok #newyorkcity,1969-12-31 19:04:40,original sound,Are You Happy?,True,,15.0,15,10500,108,93600,69,[],"['areyouhappy', 'wholesometiktok', 'newyorkcity']"
Perspective from a veteran on happiness in today’s America. #areyouhappy,1969-12-31 19:04:41,original sound,Are You Happy?,True,,22.0,22,11800,86,97600,39,[],['areyouhappy']
#duet with @tommy.is.epic Amazing story! Make a cool video asking someone if they’re happy. Will be dueting the best stories.,1969-12-31 19:04:42,original sound,Tommy Grissel,True,,59.0,59,11600,61,101800,53,"[""@tommy""]",['duet']
Part 2 #areyouhappy #wholesometiktok,1969-12-31 19:04:43,original sound,Are You Happy?,True,,58.0,58,169500,5854,735000,1576,[],"['areyouhappy', 'wholesometiktok']"
Every day I ask people if they’re happy. part 4,1969-12-31 19:04:44,original sound,Are You Happy?,True,,43.0,43,15300,57,122700,87,[],[]
Every day I ask people if they’re happy.,1969-12-31 19:04:45,original sound,Are You Happy?,True,,39.0,39,5634,61,60300,39,[],[]
Every day I ask people if they’re happy. #wholesometiktok #areyouhappy,1969-12-31 19:04:46,original sound,Are You Happy?,True,,12.0,12,6241,35,76200,46,[],"['wholesometiktok', 'areyouhappy']"
Part three. Every day I ask people if they’re happy.,1969-12-31 19:04:47,original sound,Are You Happy?,True,,34.0,35,7116,13,73600,73,[],[]
