text,createTime,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,musicMeta.musicAlbum,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags
"The message is clear: hold on. Thanks Christy from Edinburgh, Scotland. #traveltheworld #edinburgh #edinburghscotland",2021-02-25 00:32:41,original sound,Strange World of Synths,True,,58.0,50,715500,5650,2200000,3512,[],"[{""id"":""210323"",""name"":""traveltheworld"",""title"":"""",""cover"":""""},{""id"":""712997"",""name"":""edinburgh"",""title"":"""",""cover"":""""},{""id"":""56696719"",""name"":""edinburghscotland"",""title"":"""",""cover"":""""}]"
your entire life can change in an instant,2021-02-21 22:20:48,My Tears Are Becoming A Sea,M83,False,"Hurry Up, We're Dreaming",30.0,53,33000,369,193400,266,[],[]
Just vibe with @solenendahiro from Rwanda here. #rwanda #kigalitiktok #kigalirwanda #spiritualitytiktok #spiritualitytips,2021-02-20 20:41:59,original sound,Are You Happy?,True,,59.0,59,7018,153,82800,92,"[""@solenendahiro""]","[{""id"":""1808673"",""name"":""rwanda"",""title"":"""",""cover"":""""},{""id"":""1652027024600070"",""name"":""kigalitiktok"",""title"":"""",""cover"":""""},{""id"":""1623662621916166"",""name"":""kigalirwanda"",""title"":"""",""cover"":""""},{""id"":""1670996629381125"",""name"":""spiritualitytiktok"",""title"":"""",""cover"":""""},{""id"":""1673867371694086"",""name"":""spiritualitytips"",""title"":"""",""cover"":""""}]"
@oscar.c.121 captured this interview at a bowling alley. What a good vibe! #goodvibes #positivevibes #bowlingalley #bowlingtiktok,2021-02-19 21:30:50,original sound,Are You Happy?,True,,43.0,44,1935,30,65700,52,"[""@oscar""]","[{""id"":""13497"",""name"":""goodvibes"",""title"":""Thumbs up to feel those #GoodVibes 👍👍👍"",""cover"":""""},{""id"":""23138"",""name"":""positivevibes"",""title"":""Whether it's a sunset or just listening to a good song, show us those things that give you #PositiveVibes."",""cover"":""https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/02476532b6e778d4f98d429c68ff3d1e""},{""id"":""408655"",""name"":""bowlingalley"",""title"":"""",""cover"":""""},{""id"":""1666102812183553"",""name"":""bowlingtiktok"",""title"":"""",""cover"":""""}]"
@dibrantreppy asked a cowboy if he was happy. #pbr #cowboyshit #rodeoclown #rodeotok #rodeoranch,2021-02-19 04:42:58,Why Are There Boundaries,Fkj,False,French Kiwi Juice,60.0,55,17100,53,124300,97,"[""@dibrantreppy""]","[{""id"":""190485"",""name"":""pbr"",""title"":"""",""cover"":""""},{""id"":""1938336"",""name"":""cowboyshit"",""title"":"""",""cover"":""""},{""id"":""10043582"",""name"":""rodeoclown"",""title"":"""",""cover"":""""},{""id"":""1660346781594630"",""name"":""rodeotok"",""title"":"""",""cover"":""""},{""id"":""1593917031279622"",""name"":""rodeoranch"",""title"":"""",""cover"":""""}]"
Just the fact that you’re alive is enough reason to be happy. #areyouhappy #findhappiness #happinessisyou #positivepsychology,2021-02-17 23:00:30,Night Trouble By Petit Biscuit,Tyler,True,,58.0,39,40200,1251,351300,298,[],"[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""6685924"",""name"":""findhappiness"",""title"":"""",""cover"":""""},{""id"":""77877429"",""name"":""happinessisyou"",""title"":"""",""cover"":""""},{""id"":""79967127"",""name"":""positivepsychology"",""title"":"""",""cover"":""""}]"
Chris from Australia conducted this interview! What a wise woman. #melbourne #darwinaustralia #aussiesdoingthings #melbourneaustralia,2021-02-14 21:20:00,Night Trouble By Petit Biscuit,Tyler,True,,58.0,34,3553,17,65700,25,[],"[{""id"":""235419"",""name"":""melbourne"",""title"":"""",""cover"":""""},{""id"":""71422758"",""name"":""darwinaustralia"",""title"":"""",""cover"":""""},{""id"":""1613153771753478"",""name"":""aussiesdoingthings"",""title"":"""",""cover"":""""},{""id"":""8186817"",""name"":""melbourneaustralia"",""title"":"""",""cover"":""""}]"
@oscar.c.121 interviewed a random passerby who totally gets it. #mindsetmotivation #perspectiveiskey #mentalheathawarness #positiveenergy,2021-02-13 22:12:52,"Hand Covers Bruise (From the Movie ""The Social Network"")",Movie Sounds Unlimited,False,Movie Soundtrack Hits,60.0,48,7682,117,69700,66,"[""@oscar""]","[{""id"":""1646557890307074"",""name"":""mindsetmotivation"",""title"":"""",""cover"":""""},{""id"":""1640797779523590"",""name"":""perspectiveiskey"",""title"":"""",""cover"":""""},{""id"":""54077822"",""name"":""mentalheathawarness"",""title"":"""",""cover"":""""},{""id"":""27911"",""name"":""positiveenergy"",""title"":"""",""cover"":""""}]"
my mom did an interview for this page. that means you can too. dm me if you want to do interviews as well.,2021-02-12 21:43:59,original sound,Are You Happy?,True,,59.0,59,3283,16,55300,37,[],[]
@juanloaizaes captured this interview in Colombia. Que fantastico! #medellin #ciudaddelrio #medellincolombia #felicidad #parce #psicología,2021-02-11 22:25:49,original sound,Are You Happy?,True,,58.0,58,3940,54,61100,34,"[""@juanloaizaes""]","[{""id"":""137364"",""name"":""medellin"",""title"":"""",""cover"":""""},{""id"":""1597143727827973"",""name"":""ciudaddelrio"",""title"":"""",""cover"":""""},{""id"":""87216497"",""name"":""medellincolombia"",""title"":"""",""cover"":""""},{""id"":""274394"",""name"":""felicidad"",""title"":"""",""cover"":""""},{""id"":""7673275"",""name"":""parce"",""title"":"""",""cover"":""""},{""id"":""5621196"",""name"":""psicología"",""title"":"""",""cover"":""""}]"
@dibrantreppy thanks for capturing this interview! #areyouhappy #positivepsychology #positivemindset #mindsetmotivation,2021-02-10 21:29:28,Night Trouble By Petit Biscuit,Tyler,True,,58.0,38,7354,63,81500,68,"[""@dibrantreppy""]","[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""79967127"",""name"":""positivepsychology"",""title"":"""",""cover"":""""},{""id"":""48061384"",""name"":""positivemindset"",""title"":"""",""cover"":""""},{""id"":""1646557890307074"",""name"":""mindsetmotivation"",""title"":"""",""cover"":""""}]"
a typical “are you happy” day,2021-02-09 22:43:38,original sound,Are You Happy?,True,,59.0,59,7617,60,78300,59,[],[]
Love to see people do what they love! Thanks so Annie for submitting this interview! #surfing #panamacitybeach #panamacity #panamacitybeachflorida,2021-02-08 22:25:44,Why Are There Boundaries,Fkj,False,French Kiwi Juice,60.0,26,7815,22,90400,25,[],"[{""id"":""13897"",""name"":""surfing"",""title"":""Show us your best (and worst) wipeouts, sunrise sessions, monster waves, board POV, morning routines and ocean adventures with #Surfing."",""cover"":""""},{""id"":""139620"",""name"":""panamacitybeach"",""title"":"""",""cover"":""""},{""id"":""199311"",""name"":""panamacity"",""title"":"""",""cover"":""""},{""id"":""10331617"",""name"":""panamacitybeachflorida"",""title"":"""",""cover"":""""}]"
@banda.tx interviewed this guy through the car window! And what a guy! Smile more. #smilemore #positiveenergy #positivitygang #austin #austintexas,2021-02-04 22:32:20,Why Are There Boundaries,Fkj,False,French Kiwi Juice,60.0,25,237500,2216,1500000,1002,"[""@banda""]","[{""id"":""98850"",""name"":""smilemore"",""title"":"""",""cover"":""""},{""id"":""27911"",""name"":""positiveenergy"",""title"":"""",""cover"":""""},{""id"":""78861666"",""name"":""positivitygang"",""title"":"""",""cover"":""""},{""id"":""39510"",""name"":""austin"",""title"":"""",""cover"":""""},{""id"":""295094"",""name"":""austintexas"",""title"":"""",""cover"":""""}]"
